
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[ATTENTION] Using backend: flash_attn
[ATTENTION] Using backend: flash_attn
[ATTENTION] Using backend: flash_attn
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
DualPartSLatModel (512, cross_attn from block 29): 1603M total, 311M trainable
DualPartSLatModel (512, cross_attn from block 29): 1603M total, 311M trainable
DualPartSLatModel (512, cross_attn from block 29): 1603M total, 311M trainable
[Dataset] 2250 samples

=== Progressive SLat Refiner Training ===
  GPUs: 3, Data: 2250 samples
  Trainable: 311M / 1603M
  Steps: 20000, LR: 0.0001
  Progressive: block 29→15, expand every 500 steps
  Output: /mnt/data_ssd/infinigen-sim/slat_progressive_full

  [3160/20000] loss=0.3915 lr=1.00e-04 active=7 | 1.60 it/s ETA 175m
  [3180/20000] loss=0.2870 lr=1.00e-04 active=7 | 1.60 it/s ETA 175m
  [3200/20000] loss=0.1790 lr=1.00e-04 active=7 | 1.60 it/s ETA 175m
  [3220/20000] loss=0.2731 lr=1.00e-04 active=7 | 1.60 it/s ETA 174m
  [3240/20000] loss=0.4152 lr=1.00e-04 active=7 | 1.60 it/s ETA 174m
  [3260/20000] loss=0.2393 lr=1.00e-04 active=7 | 1.60 it/s ETA 174m
  [3280/20000] loss=0.1472 lr=1.00e-04 active=7 | 1.60 it/s ETA 174m
  [3300/20000] loss=0.2671 lr=1.00e-04 active=7 | 1.60 it/s ETA 174m
  [3320/20000] loss=0.4198 lr=1.00e-04 active=7 | 1.60 it/s ETA 174m
  [3340/20000] loss=0.2799 lr=1.00e-04 active=7 | 1.60 it/s ETA 173m
  [3360/20000] loss=0.1735 lr=1.00e-04 active=7 | 1.60 it/s ETA 173m
  [3380/20000] loss=0.2608 lr=1.00e-04 active=7 | 1.60 it/s ETA 173m
  [3400/20000] loss=0.3143 lr=1.00e-04 active=7 | 1.60 it/s ETA 173m
  [3420/20000] loss=0.2446 lr=1.00e-04 active=7 | 1.60 it/s ETA 173m
  [3440/20000] loss=0.2446 lr=1.00e-04 active=7 | 1.60 it/s ETA 172m
  [3460/20000] loss=0.2490 lr=1.00e-04 active=7 | 1.60 it/s ETA 172m
  [3480/20000] loss=0.2634 lr=1.00e-04 active=7 | 1.60 it/s ETA 172m
  [3500/20000] loss=0.2056 lr=1.00e-04 active=7 | 1.60 it/s ETA 172m

  >>> Step 3500: expanded to 8 cross-attn layers (blocks 22-29)

  [3520/20000] loss=0.3841 lr=1.00e-04 active=8 | 1.60 it/s ETA 172m
  [3540/20000] loss=0.2459 lr=1.00e-04 active=8 | 1.60 it/s ETA 172m
  [3560/20000] loss=0.4698 lr=1.00e-04 active=8 | 1.60 it/s ETA 171m
  [3580/20000] loss=0.3307 lr=1.00e-04 active=8 | 1.60 it/s ETA 171m
  [3600/20000] loss=0.3354 lr=1.00e-04 active=8 | 1.60 it/s ETA 171m
  [3620/20000] loss=0.2335 lr=1.00e-04 active=8 | 1.60 it/s ETA 171m
  [3640/20000] loss=0.3117 lr=1.00e-04 active=8 | 1.60 it/s ETA 171m
  [3660/20000] loss=0.2076 lr=1.00e-04 active=8 | 1.60 it/s ETA 170m
  [3680/20000] loss=0.3006 lr=1.00e-04 active=8 | 1.60 it/s ETA 170m
  [3700/20000] loss=0.3548 lr=1.00e-04 active=8 | 1.60 it/s ETA 170m
  [3720/20000] loss=0.2906 lr=1.00e-04 active=8 | 1.60 it/s ETA 170m
  [3740/20000] loss=0.3622 lr=1.00e-04 active=8 | 1.60 it/s ETA 170m
  [3760/20000] loss=0.2276 lr=1.00e-04 active=8 | 1.59 it/s ETA 170m
  [3780/20000] loss=0.1795 lr=1.00e-04 active=8 | 1.59 it/s ETA 170m
  [3800/20000] loss=0.2051 lr=1.00e-04 active=8 | 1.59 it/s ETA 169m
  [3820/20000] loss=0.2212 lr=1.00e-04 active=8 | 1.59 it/s ETA 169m
  [3840/20000] loss=0.2732 lr=1.00e-04 active=8 | 1.59 it/s ETA 169m
  [3860/20000] loss=0.3061 lr=1.00e-04 active=8 | 1.59 it/s ETA 169m
  [3880/20000] loss=0.2524 lr=1.00e-04 active=8 | 1.59 it/s ETA 169m
  [3900/20000] loss=0.3294 lr=1.00e-04 active=8 | 1.59 it/s ETA 169m
  [3920/20000] loss=0.2910 lr=1.00e-04 active=8 | 1.59 it/s ETA 168m
  [3940/20000] loss=0.2790 lr=1.00e-04 active=8 | 1.59 it/s ETA 168m
  [3960/20000] loss=0.2207 lr=1.00e-04 active=8 | 1.59 it/s ETA 168m
  [3980/20000] loss=0.3112 lr=1.00e-04 active=8 | 1.59 it/s ETA 168m
  [4000/20000] loss=0.3293 lr=1.00e-04 active=8 | 1.59 it/s ETA 168m
  Saved: /mnt/data_ssd/infinigen-sim/slat_progressive_full/step_4000.pt

  >>> Step 4000: expanded to 9 cross-attn layers (blocks 21-29)

  [4020/20000] loss=0.3329 lr=1.00e-04 active=9 | 1.59 it/s ETA 168m
  [4040/20000] loss=0.3798 lr=1.00e-04 active=9 | 1.59 it/s ETA 168m
  [4060/20000] loss=0.4596 lr=1.00e-04 active=9 | 1.59 it/s ETA 167m
  [4080/20000] loss=0.2160 lr=1.00e-04 active=9 | 1.59 it/s ETA 167m
  [4100/20000] loss=0.2515 lr=1.00e-04 active=9 | 1.59 it/s ETA 167m
  [4120/20000] loss=0.3122 lr=1.00e-04 active=9 | 1.59 it/s ETA 167m
